Task_ID,Task_Name,Module,Assigned_Team,Estimated_Duration,Actual_Duration,Delay_Risk (%),Workload (%),Needed_Resources,Priority_Level,Resource_Availability,Required_Experience (Years),Planning_Conflict,Adaptability_Score,Scrum_Sprint_Count,Sprint_Velocity,Mapped_Role,AI_Willingness,AI_Usage_Percentage,AI_Familiarity,AI_Familiarity_Score,Agile_Familiarity,Agile_Familiarity_Score,Duration_Accuracy,Velocity_to_Experience_Ratio,AI_Adaptability_Index,Module_Encoded,Assigned_Team_Encoded,Needed_Resources_Encoded,Priority_Level_Encoded,Resource_Availability_Encoded,Planning_Conflict_Encoded,Mapped_Role_Encoded,AI_Familiarity_Encoded,Agile_Familiarity_Encoded
TASK_1,Task 1,Testing,DevOps,0.8666666666666667,0.5,0.0,0.2857142857142858,1 React Dev,Low,Available in March,0.16666666666666666,No Conflict,0.51,0.8333333333333333,0.75,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2631578947368421,0.39843749999999994,0.51,4,1,1,2,1,0,0,1,0
TASK_2,Task 2,Dashboard,FullStack,1.0,0.55,0.875,0.2857142857142858,1 React Dev,Medium,Available in March,0.0,Overlaps with Sprint 5,0.44,0.5,0.25,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2763157894736842,0.671875,0.44,1,3,1,3,1,2,0,1,0
TASK_3,Task 3,Authentication,Frontend,1.0,1.0,0.875,0.0,1 React Dev,Medium,Available,0.33333333333333337,No Conflict,0.37,0.33333333333333326,0.9500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.15789473684210525,0.2635416666666666,0.36999999999999994,0,2,1,3,0,0,0,1,0
TASK_4,Task 4,Payment,QA,0.26666666666666666,0.10000000000000003,0.0,0.5714285714285714,1 React Dev,Low,Available in March,0.6666666666666666,Overlaps with Sprint 5,0.65,0.6666666666666667,0.5500000000000003,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.2857142857142857,0.08562499999999999,0.41019417475728154,2,4,1,2,1,2,1,0,0
TASK_5,Task 5,Testing,QA,0.26666666666666666,0.2,1.0,1.0,1 React Dev,Critical,Busy,0.0,Overlaps with Sprint 5,0.0,0.0,1.0,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.21052631578947367,1.0,0.0,4,4,1,0,2,2,1,0,0
TASK_6,Task 6,Sprint Planning,QA,0.46666666666666673,0.30000000000000004,0.125,0.0,,Critical,Available,0.9999999999999999,Overlaps with Sprint 5,0.13,0.16666666666666674,0.8500000000000001,Quality Assurance Engineer,0.0,0.0,Somewhat Familiar,0.0,Somewhat Familiar,0.0,0.23444976076555019,0.05312500000000002,0.08203883495145631,3,4,3,0,0,2,1,0,0
TASK_7,Task 7,Payment,DevOps,0.6666666666666667,0.050000000000000044,0.0,1.0,1 React Dev,High,Available,0.6666666666666666,Overlaps with Holidays,0.52,0.6666666666666667,0.8500000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.6052631578947367,0.11187500000000002,0.52,2,1,1,1,0,1,0,1,0
TASK_8,Task 8,Dashboard,Backend,0.5333333333333334,0.30000000000000004,0.125,1.0,,Medium,Available in March,0.16666666666666666,Overlaps with Sprint 5,0.13,0.16666666666666674,0.4500000000000002,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2583732057416268,0.33281249999999996,0.13,1,0,3,3,1,2,0,1,0
TASK_9,Task 9,Sprint Planning,Backend,0.8666666666666667,0.30000000000000004,1.0,0.0,1 QA Tester,High,Available in March,0.9999999999999999,No Conflict,0.63,0.6666666666666667,0.10000000000000009,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.3779904306220096,0.0062500000000000056,0.63,3,0,0,1,1,0,0,1,0
TASK_10,Task 10,Payment,Frontend,0.5333333333333334,0.25,0.0,0.2857142857142858,1 React Dev,Medium,Busy,0.16666666666666666,Overlaps with Sprint 5,0.48,0.9999999999999998,0.6000000000000001,Developer,1.0,1.0,Very Familiar,1.0,Somewhat Familiar,0.0,0.2894736842105263,0.365625,0.48,2,2,1,3,2,2,0,1,0
